Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
6/7/2017,12/7/2017,12/7/2017,,Yes,No,No,No
6/7/2017,12/7/2017,12/7/2017,,Yes,No,No,No
6/7/2017,12/7/2017,12/7/2017,,Yes,No,No,No
5/7/2017,2/8/2017,1/8/2017,,No,No,No,Yes
5/7/2017,28/8/2017,23/8/2017,1/8/2017,No,No,Yes,No
6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,18/7/2017,,No,No,No,No
6/7/2017,3/8/2017,3/8/2017,,No,No,No,Yes
6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,21/7/2017,,No,No,No,No
6/7/2017,3/8/2017,28/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,13/7/2017,,No,No,No,No
7/7/2017,4/8/2017,11/7/2017,,No,No,No,No
7/7/2017,4/8/2017,7/7/2017,,No,No,No,No
6/7/2017,3/8/2017,2/8/2017,,No,No,Yes,No
6/7/2017,3/8/2017,24/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,14/7/2017,,No,No,No,Yes
6/7/2017,3/8/2017,2/8/2017,,No,No,No,No
6/7/2017,3/8/2017,18/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,19/7/2017,,Yes,No,No,No
6/7/2017,20/7/2017,7/7/2017,,No,No,No,No
6/7/2017,3/8/2017,3/8/2017,,Yes,No,No,No
6/7/2017,13/7/2017,12/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,7/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,2/8/2017,,No,No,No,No
6/7/2017,3/8/2017,13/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,19/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,12/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,12/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,18/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,20/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,2/8/2017,,No,No,Yes,No
7/7/2017,4/8/2017,7/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,7/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,24/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,19/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,4/8/2017,,Yes,No,No,No
10/7/2017,7/8/2017,13/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,14/7/2017,,Yes,No,No,No
