Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,25/7/2017,22/8/2017,22/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,2/8/2017,,No,No,No,Yes
Official Information Act,25/7/2017,22/8/2017,1/8/2017,,No,No,Yes,No
Official Information Act,25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,23/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,18/8/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
